regime_dimension,regime,signal,horizon,n_obs,rank_ic
volatility_regime,high,microprice_deviation,50,290727,0.3201477553952508
volatility_regime,high,microprice_deviation,100,290727,0.3568486415539959
volatility_regime,high,spread,1,290727,-0.005140849628952314
volatility_regime,high,spread,5,290727,0.0003776070004925246
volatility_regime,high,spread,10,290727,-0.0034808129401127717
volatility_regime,high,spread,25,290727,-0.014751632104882359
volatility_regime,high,spread,50,290727,-0.02045792174041025
volatility_regime,high,spread,100,290727,-0.00946168536604036
liquidity_regime,low,ofi,1,295733,0.09562835680507392
liquidity_regime,low,ofi,5,295733,0.15535124646454898
liquidity_regime,low,ofi,10,295733,0.185789514702104
liquidity_regime,low,ofi,25,295733,0.1977352506825658
liquidity_regime,low,ofi,50,295733,0.18866102901339843
liquidity_regime,low,ofi,100,295733,0.16808755781308787
liquidity_regime,low,queue_imbalance,1,295733,0.080759928390009
liquidity_regime,low,queue_imbalance,5,295733,0.14692557579254448
liquidity_regime,low,queue_imbalance,10,295733,0.1987053267483358
liquidity_regime,low,queue_imbalance,25,295733,0.26975121770934096
liquidity_regime,low,queue_imbalance,50,295733,0.28383107316110723
liquidity_regime,low,queue_imbalance,100,295733,0.2798200602575607
liquidity_regime,low,microprice_deviation,1,295733,0.07405018430806402
liquidity_regime,low,microprice_deviation,5,295733,0.14100976951286281
liquidity_regime,low,microprice_deviation,10,295733,0.19298542369928895
liquidity_regime,low,microprice_deviation,25,295733,0.26505146611282415
liquidity_regime,low,microprice_deviation,50,295733,0.28120909806724065
liquidity_regime,low,microprice_deviation,100,295733,0.2789709755480867
liquidity_regime,low,spread,1,295733,-0.007035789388580473
liquidity_regime,low,spread,5,295733,-0.006067172356145386
liquidity_regime,low,spread,10,295733,5.903013188450776e-05
liquidity_regime,low,spread,25,295733,-0.008427489240493977
liquidity_regime,low,spread,50,295733,-0.01328306283705003
liquidity_regime,low,spread,100,295733,-0.016625738101266378
liquidity_regime,medium,ofi,1,302423,0.0825389288142617
liquidity_regime,medium,ofi,5,302423,0.1278609141659673
liquidity_regime,medium,ofi,10,302423,0.1372876097518544
liquidity_regime,medium,ofi,25,302423,0.12735510240387027
liquidity_regime,medium,ofi,50,302423,0.12543472415571577
liquidity_regime,medium,ofi,100,302423,0.1354217550926275
liquidity_regime,medium,queue_imbalance,1,302423,0.08526503416633349
liquidity_regime,medium,queue_imbalance,5,302423,0.11247869672876727
liquidity_regime,medium,queue_imbalance,10,302423,0.1406806310476217
liquidity_regime,medium,queue_imbalance,25,302423,0.19785118364260912
liquidity_regime,medium,queue_imbalance,50,302423,0.2520135007795603
liquidity_regime,medium,queue_imbalance,100,302423,0.27160976768981415
liquidity_regime,medium,microprice_deviation,1,302423,0.0744393159971366
liquidity_regime,medium,microprice_deviation,5,302423,0.10674874973711548
liquidity_regime,medium,microprice_deviation,10,302423,0.13694389559428533
liquidity_regime,medium,microprice_deviation,25,302423,0.19696712346002448
liquidity_regime,medium,microprice_deviation,50,302423,0.2536163855412876
liquidity_regime,medium,microprice_deviation,100,302423,0.2750750432543599
liquidity_regime,medium,spread,1,302423,0.000687780049649419
liquidity_regime,medium,spread,5,302423,-0.0011669265774528332
liquidity_regime,medium,spread,10,302423,-0.0034546284952920885
liquidity_regime,medium,spread,25,302423,-0.006303040981145335
liquidity_regime,medium,spread,50,302423,-0.004827497402809926
liquidity_regime,medium,spread,100,302423,0.003767296107389577
liquidity_regime,high,ofi,1,350673,0.07259133645644422
liquidity_regime,high,ofi,5,350673,0.11245108964495594
liquidity_regime,high,ofi,10,350673,0.1248234554357725
liquidity_regime,high,ofi,25,350673,0.12219225758002493
liquidity_regime,high,ofi,50,350673,0.1529868961303586
liquidity_regime,high,ofi,100,350673,0.19442833403873164
liquidity_regime,high,queue_imbalance,1,350673,0.09847718149865523
liquidity_regime,high,queue_imbalance,5,350673,0.1065651771266135
liquidity_regime,high,queue_imbalance,10,350673,0.12444531825728711
liquidity_regime,high,queue_imbalance,25,350673,0.1855379009933172
liquidity_regime,high,queue_imbalance,50,350673,0.2557171073410625
liquidity_regime,high,queue_imbalance,100,350673,0.3156372790447118
liquidity_regime,high,microprice_deviation,1,350673,0.0727077117302091
liquidity_regime,high,microprice_deviation,5,350673,0.0975055137214238
liquidity_regime,high,microprice_deviation,10,350673,0.12405321756384044
liquidity_regime,high,microprice_deviation,25,350673,0.19900314304941444
liquidity_regime,high,microprice_deviation,50,350673,0.2855734432161598
liquidity_regime,high,microprice_deviation,100,350673,0.3586255770056958
liquidity_regime,high,spread,1,350673,-0.0012154414641537485
liquidity_regime,high,spread,5,350673,0.010443377949962461
liquidity_regime,high,spread,10,350673,0.013246158831885221
liquidity_regime,high,spread,25,350673,0.006081366491880719
liquidity_regime,high,spread,50,350673,0.006499461063450368
liquidity_regime,high,spread,100,350673,0.022119285704965398
