regime_dimension,signal,horizon,ic_min,ic_max,ic_mean,ic_range
spread_regime,ofi,5,0.11500572797530587,0.1469784097965304,0.132377766629827,0.031972681821224536
liquidity_regime,microprice_deviation,50,0.2536163855412876,0.2855734432161598,0.2734663089415627,0.03195705767487217
liquidity_regime,queue_imbalance,50,0.2520135007795603,0.28383107316110723,0.2638538937605767,0.03181757238154692
volatility_regime,spread,50,-0.02045792174041025,0.010274154429172618,-0.002146211483330454,0.03073207616958287
spread_regime,microprice_deviation,25,0.20322403210687057,0.2333439385481983,0.22087380073113838,0.030119906441327726
volatility_regime,ofi,1,0.06732746494724787,0.09527807742703517,0.08182298005722621,0.027950612479787307
volatility_regime,spread,100,-0.00946168536604036,0.017222414212147454,0.0074144187859489065,0.026684099578187813
spread_regime,spread,100,-0.0008636116461073236,0.02496584118751365,0.015870045155927433,0.025829452833620974
liquidity_regime,ofi,1,0.07259133645644422,0.09562835680507392,0.08358620735859328,0.0230370203486297
volatility_regime,spread,25,-0.014751632104882359,0.007646999268636906,-0.000591561141023841,0.022398631373519266
liquidity_regime,spread,50,-0.01328306283705003,0.006499461063450368,-0.0038703663921365295,0.0197825239005004
volatility_regime,microprice_deviation,10,0.14234675264897345,0.16169189663970826,0.15156482109022676,0.01934514399073481
volatility_regime,ofi,100,0.16176880135702423,0.18108229512997934,0.16937928171681108,0.019313493772955104
spread_regime,spread,1,-0.012592802822977292,0.006685656929558552,-0.0006822818996187167,0.019278459752535844
spread_regime,spread,5,-0.0059190500646407905,0.012885165603457342,0.003341811632567531,0.01880421566809813
volatility_regime,queue_imbalance,1,0.07785087247949483,0.09598376464547057,0.08531588881643888,0.01813289216597573
liquidity_regime,queue_imbalance,1,0.080759928390009,0.09847718149865523,0.08816738135166591,0.01771725310864622
liquidity_regime,spread,10,-0.0034546284952920885,0.013246158831885221,0.0032835201561592134,0.01670078732717731
liquidity_regime,spread,5,-0.006067172356145386,0.010443377949962461,0.001069759672121414,0.016510550306107846
spread_regime,ofi,1,0.07418077809908243,0.09062095031715739,0.08440025711707395,0.016440172218074964
volatility_regime,ofi,50,0.14768670239405798,0.1640026942949377,0.1579469019701243,0.016315991900879706
volatility_regime,queue_imbalance,10,0.1502909132982102,0.16543889706120726,0.15693715680007006,0.015147983762997058
liquidity_regime,spread,25,-0.008427489240493977,0.006081366491880719,-0.002883054576586198,0.014508855732374697
volatility_regime,spread,10,-0.0034808129401127717,0.010158201193457271,0.00467754889996769,0.013639014133570044
volatility_regime,microprice_deviation,1,0.06684734585134228,0.07949475157316375,0.07213604103246908,0.012647405721821478
spread_regime,spread,50,0.0009256347336850568,0.01173797271145236,0.0072762027790380275,0.010812337977767303
spread_regime,spread,10,0.001818284608541391,0.01261247924144821,0.007117434925534252,0.010794194632906819
volatility_regime,spread,1,-0.005140849628952314,0.0052665975517537334,0.00014031895517960304,0.010407447180706048
liquidity_regime,spread,1,-0.007035789388580473,0.000687780049649419,-0.002521150267694934,0.007723569438229892
volatility_regime,spread,5,0.0003776070004925246,0.007398928625668584,0.003789810358566008,0.007021321625176059
spread_regime,spread,25,0.002820995383973461,0.00889556761126018,0.005778613309099391,0.006074572227286719
volatility_regime,queue_imbalance,5,0.11987156788206929,0.12591984424670324,0.12256104183856381,0.006048276364633953
volatility_regime,microprice_deviation,5,0.11270757587544851,0.11612775963707073,0.1148666965671271,0.003420183761622217
liquidity_regime,microprice_deviation,1,0.0727077117302091,0.0744393159971366,0.07373240401180324,0.0017316042669275056
